ID,Business Name,Trade Name,Industry,License Number,Full Address,Address Building,Address Street Name,City,State,ZIP Code,Borough,Address Location,Phone Number
1,GEM FINANCIAL SERVICES INC,GEM PAWNBROKERS,PAWNBROKER,2902,"608 8 AVENUE, NEW YORK, NY 10018",608,8 AVENUE,NEW YORK,NY,10018,Manhattan, ,(718) 237-1166
2,FLORIAN PAPP INC, ,SECOND HAND DLR GEN,6840,"962 MADISON AVENUE, NEW YORK, NY 10021",962,MADISON AVENUE,NEW YORK,NY,10021,Manhattan, ,(212) 288-6770
3,"SAYYED, IQBAL", ,NEWSSTAND,10669,"S/E/C BROADWAY, NEW YORK, NY 10024",S/E/C,BROADWAY,NEW YORK,NY,10024,Manhattan,W 86TH ST,(212) 873-6404
4,"KALOGIANNAKIS, MARINOS", ,NEWSSTAND,10699,"S/E/C ST NICHOLAS AVE, NEW YORK, NY 10033",S/E/C,ST NICHOLAS AVE,NEW YORK,NY,10033,Manhattan,W 181ST ST,(718) 721-0135
5,"KAUFMAN, MARILYN", ,NEWSSTAND,10971,"N/W/C BROADWAY, NEW YORK, NY 10024",N/W/C,BROADWAY,NEW YORK,NY,10024,Manhattan,W 79TH ST,(914) 357-6899
6,"TOM, SIK PUI", ,NEWSSTAND,10985,"S/E/C CANAL ST, NEW YORK, NY 10013",S/E/C,CANAL ST,NEW YORK,NY,10013,Manhattan,LAFAYETTE ST,(917) 806-4039
7,"PATTON JR., GEORGE", ,NEWSSTAND,11333,"N/W/C BROADWAY, NEW YORK, NY 10031",N/W/C,BROADWAY,NEW YORK,NY,10031,Manhattan,W 145TH ST,(212) 568-6208
8,"OLSEN, DAVID", ,NEWSSTAND,11544,"S/W/C BROADWAY, NEW YORK, NY 10018",S/W/C,BROADWAY,NEW YORK,NY,10018,Manhattan,W 40TH ST,(718) 671-4040
9,"DESAI, INDUBEN K", ,NEWSSTAND,11671,"N/W/C BROADWAY, NEW YORK, NY 10023",N/W/C,BROADWAY,NEW YORK,NY,10023,Manhattan,W 66TH ST,(718) 347-6422
10,"OTERO, FERNANDO", ,NEWSSTAND,12609,"N/W/C 3RD AVE, BRONX, NY 10455",N/W/C,3RD AVE,BRONX,NY,10455,Bronx,E 149TH ST,(718) 993-3515
11,JAMES ROBINSON INC, ,SECOND HAND DLR GEN,16371,"480 PARK AVEUNE, NEW YORK, NY 10022",480,PARK AVEUNE,NEW YORK,NY,10022,Manhattan, ,(212) 752-6166
12,"PATEL, ASWIN", ,NEWSSTAND,20885,"N/W/C 5TH AVE, NEW YORK, NY 10010",N/W/C,5TH AVE,NEW YORK,NY,10010,Manhattan,W 23RD ST,(718) 347-6422
13,"PONZINI III, LOUIS", ,NEWSSTAND,24405,"N/W/C LEXINGTON AVE, NEW YORK, NY 10022",N/W/C,LEXINGTON AVE,NEW YORK,NY,10022,Manhattan,E 51ST ST,(917) 576-2925
14,"ALTHOLTZ, JILL", ,NEWSSTAND,24530,"N/E/C W 34TH ST, NEW YORK, NY 10001",N/E/C,W 34TH ST,NEW YORK,NY,10001,Manhattan,7TH AVE,(908) 872-0443
15,"WHALEN, MARY", ,NEWSSTAND,24541,"S/E/C WALL ST, NEW YORK, NY 10005",S/E/C,WALL ST,NEW YORK,NY,10005,Manhattan,WILLIAM ST,(718) 833-1946
16,"SCHNEIDER, LEONARD", ,NEWSSTAND,66402,"S/W/C 7TH AVE, NEW YORK, NY 10036",S/W/C,7TH AVE,NEW YORK,NY,10036,Manhattan,W 42ND ST,(516) 432-8971
17,"PONNIAH, ALOYSIUS", ,NEWSSTAND,68565,"N/E/C 7TH AVE, NEW YORK, NY 10019",N/E/C,7TH AVE,NEW YORK,NY,10019,Manhattan,W 57TH ST,(212) 689-2576
18,CROPSEY SCRAP IRON &METAL CORP, ,SCRAP METL PROCESSOR,84257,"2540 WEST   17 STREET, BROOKLYN, NY 11214",2540,WEST   17 STREET,BROOKLYN,NY,11214,Brooklyn, ,(718) 372-5348
19,"BODEN, KENNETH", ,NEWSSTAND,102728,"S/E/C WHITEHALL ST, NEW YORK, NY 10004",S/E/C,WHITEHALL ST,NEW YORK,NY,10004,Manhattan,WATER ST,(718) 429-4302
20,"FINE, ELLEN A", ,NEWSSTAND,108786,"S/W/C BROADWAY, NEW YORK, NY 10032",S/W/C,BROADWAY,NEW YORK,NY,10032,Manhattan,W 168TH ST,(212) 927-1937
