ID,Business Name,Trade Name,Industry,License Number,Full Address,Address Building,Address Street Name,Street Address,City,State,ZIP Code,Borough,Address Location,Phone Number
1,GEM FINANCIAL SERVICES INC,GEM PAWNBROKERS,PAWNBROKER,2902,"608 8 AVENUE, NEW YORK, NY 10018",608,8 AVENUE,608 8 AVENUE,NEW YORK,NY,10018,Manhattan, ,(718) 237-1166
167,GEM FINANCIAL SERVICES INC,GEM PAWNBROKERS,PAWNBROKER,390712,"367 E FORDHAM RD, BRONX, NY 10458",367,E FORDHAM RD,367 E FORDHAM RD,BRONX,NY,10458,Bronx, ,(718) 237-1166
494,GRAMERCY PAWNBROKERS INC, ,PAWNBROKER,629547,"318-320 3 AVENUE, NEW YORK, NY 10010",318-320,3 AVENUE,318-320 3 AVENUE,NEW YORK,NY,10010,Manhattan, ,(212) 477-2135
922,N SIMPSON INC, ,PAWNBROKER,737621,"149 CANAL STREET, NEW YORK, NY 10002",149,CANAL STREET,149 CANAL STREET,NEW YORK,NY,10002,Manhattan, ,(212) 925-5070
1218,PARADISE PAWNBROKERS INC, ,PAWNBROKER,766634,"2384 GRAND CONCOURSE, BRONX, NY 10458",2384,GRAND CONCOURSE,2384 GRAND CONCOURSE,BRONX,NY,10458,Bronx, ,(718) 295-8900
1959,N Y PAWNBROKERS INC, ,PAWNBROKER,803727,"301 EAST  149 STREET, BRONX, NY 10451",301,EAST  149 STREET,301 EAST  149 STREET,BRONX,NY,10451,Bronx, ,(718) 665-0252
2085,GEM FINANCIAL SERVICES INC,GEM PAWNBROKERS,PAWNBROKER,812475,"378 SCHERMERHORN STREET, BROOKLYN, NY 11217",378,SCHERMERHORN STREET,378 SCHERMERHORN STREET,BROOKLYN,NY,11217,Brooklyn, ,(718) 237-1166
2745,GEM FINANCIAL SERVICES INC,GEM PAWNBROKERS,PAWNBROKER,831194,"216-15 JAMAICA AVENUE, QUEENS VILLAGE, NY 11428",216-15,JAMAICA AVENUE,216-15 JAMAICA AVENUE,QUEENS VILLAGE,NY,11428,Queens, ,(718) 237-1166
2904,LINCOLN SQUARE PAWNBROKERS INC, ,PAWNBROKER,835711,"724 AMSTERDAM AVENUE, NEW YORK, NY 10025",724,AMSTERDAM AVENUE,724 AMSTERDAM AVENUE,NEW YORK,NY,10025,Manhattan, ,(212) 865-9010
3596,SYLVESTERS JEWELERS INC, ,PAWNBROKER,850270,"86 BOWERY, NEW YORK, NY 10013",86,BOWERY,86 BOWERY,NEW YORK,NY,10013,Manhattan, ,(212) 966-2355
5364,GEM FINANCIAL SERVICES INC,GEM PAWNBROKERS,PAWNBROKER,898475,"1535 FLATBUSH AVENUE, BROOKLYN, NY 11210",1535,FLATBUSH AVENUE,1535 FLATBUSH AVENUE,BROOKLYN,NY,11210,Brooklyn, ,(718) 237-1166
5653,"LIRANZO, DANIEL",KELLY JEWELRY,PAWNBROKER,903938,"945 EAST  163 STREET, BRONX, NY 10459",945,EAST  163 STREET,945 EAST  163 STREET,BRONX,NY,10459,Bronx, ,(718) 328-2676
6091,PRESTAMOS PEPE INC,PRESTAMOS PEPE,PAWNBROKER,913281,"1324 ST NICHOLAS AVENUE, NEW YORK, NY 10033",1324,ST NICHOLAS AVENUE,1324 ST NICHOLAS AVENUE,NEW YORK,NY,10033,Manhattan, ,(212) 740-0850
6234,"GUERRERO, LUISA M",ANGIE GOLD EXCHANGE,PAWNBROKER,915903,"2273 MORRIS AVENUE, BRONX, NY 10453",2273,MORRIS AVENUE,2273 MORRIS AVENUE,BRONX,NY,10453,Bronx, ,(718) 562-2087
6607,GEM FINANCIAL SERVICES INC,GEM PAWNBROKERS,PAWNBROKER,921008,"90-26 SUTPHIN BOULEVARD, JAMAICA, NY 11435",90-26,SUTPHIN BOULEVARD,90-26 SUTPHIN BOULEVARD,JAMAICA,NY,11435,Queens, ,(718) 237-1166
6805,PRESTAMOS PEPE INC, ,PAWNBROKER,922990,"4162 BROADWAY, NEW YORK, NY 10033",4162,BROADWAY,4162 BROADWAY,NEW YORK,NY,10033,Manhattan, ,(212) 475-6693
6806,PRESTAMOS PEPE INC, ,PAWNBROKER,922991,"1403 ST NICHOLAS AVENUE, NEW YORK, NY 10033",1403,ST NICHOLAS AVENUE,1403 ST NICHOLAS AVENUE,NEW YORK,NY,10033,Manhattan, ,(212) 568-0600
7170,METROPOLITAN PAWN BROKERS CORP, ,PAWNBROKER,926799,"92-16 JAMAICA AVENUE, WOODHAVEN, NY 11421",92-16,JAMAICA AVENUE,92-16 JAMAICA AVENUE,WOODHAVEN,NY,11421,Queens, ,(718) 441-0906
7378,"GEM FINANCIAL SERVICES, INC.",GEM PAWNBROKERS,PAWNBROKER,930815,"754 ALLERTON AVENUE, BRONX, NY 10467",754,ALLERTON AVENUE,754 ALLERTON AVENUE,BRONX,NY,10467,Bronx, ,(718) 237-1166
7926,C & H PAWNBROKER CORP, ,PAWNBROKER,952513,"181 KNICKERBOCKER AVENUE, BROOKLYN, NY 11237",181,KNICKERBOCKER AVENUE,181 KNICKERBOCKER AVENUE,BROOKLYN,NY,11237,Brooklyn, ,(718) 628-6865
8593,STATE PAWNBROKERS INC, ,PAWNBROKER,966851,"1313 FULTON STREET, BROOKLYN, NY 11216",1313,FULTON STREET,1313 FULTON STREET,BROOKLYN,NY,11216,Brooklyn, ,(718) 789-6713
8774,N Y PAWNBROKERS I INC, ,PAWNBROKER,972023,"177 RIVINGTON STREET, NEW YORK, NY 10002",177,RIVINGTON STREET,177 RIVINGTON STREET,NEW YORK,NY,10002,Manhattan, ,(212) 228-7177
8811,LEE'S GOLD CASTLE LTD, ,PAWNBROKER,973134,"2404 GRAND CONCOURSE, NEW YORK, NY 10458",2404,GRAND CONCOURSE,2404 GRAND CONCOURSE,NEW YORK,NY,10458,Bronx, ,(718) 364-0495
9434,"TREMONT AVE. PAWNBROKERS, INC.", ,PAWNBROKER,983943,"701 EAST TREMONT AVENUE, BRONX, NY 10457",701,EAST TREMONT AVENUE,701 EAST TREMONT AVENUE,BRONX,NY,10457,Bronx, ,(718) 299-7931
9442,GEM FINANCIAL SERVICES INC.,GEM PAWNBROKERS,PAWNBROKER,984077,"353 WEST  125 STREET, NEW YORK, NY 10027",353,WEST  125 STREET,353 WEST  125 STREET,NEW YORK,NY,10027,Manhattan, ,(212) 665-9400
